"hr","player","wpct","era","bsv","outs","sho","sv","whip","qs","bb","g","hld","so","l","hb","svo","h","ip","w","r","pa","player_id","cg","gs","ibb","er"
"1","Alberto, Hanser",".---","18.00","0","3","0","0","3.00","0","2","1","0","0","0","1","0","1","1.0","0","2","7","593643","0","0","0","2"
"2","Araujo, Pedro",".---","9.82","0","11","0","0","2.18","0","3","4","0","3","0","0","0","5","3.2","0","4","18","606478","0","0","0","4"
