"gidp","h9","np","tr","gf","bqs","hgnd","sho","bq","gidp_opp","bk","kbb","sport_id","hr9","sv","slg","bb","whip","avg","ops","db","so","hfly","tbf","bb9","league_id","wp","team_seq","hb","league","hpop","cs","pgs","season","sb","go_ao","ppa","cg","player_id","ibb","gs","team_id","pk","go","hr","irs","wpct","era","babip","rs9","qs","g","ir","hld","k9","l","svo","h","ip","obp","w","hldr","ao","s","r","spct","pip","ab","er"
"","6.92","","","17","","","0","","","0","1.47","1","0.23","8",".---","19","1.26",".221",".---","","28","","160","4.38","103","0","1","0","AL","","","-.-","1984","","-.--","0.00","0","110003","5","0","108","","","1","",".800","1.62",".266","0.00","","23","","","6.46","1","13","30","39.0",".312","4","","","","7","-.-","0.0","136","7"
"","8.49","","","43","","","0","","","1","1.91","1","0.61","14",".---","35","1.34",".258",".---","","67","","366","3.58","103","0","1","1","AL","","","-.-","1985","","-.--","0.00","0","110003","7","0","110","","","6","",".625","3.78",".306","0.00","","54","","","6.85","6","19","83","88.0",".330","10","","","","44","-.-","0.0","322","37"
