"hr","gidp","np","sac","hgnd","rbi","lob","babip","gidp_opp","tb","xbh","sport_id","slg","bb","avg","ops","hbp","g","d","hfly","so","wo","league_id","sf","team_seq","hpop","tpa","league","h","cs","obp","hldr","t","ao","season","r","go_ao","sb","ppa","player_id","ab","ibb","roe","team_id","go"
"36","14","2532","0","64","110","220",".373","98","343","77","1",".598","68",".326","1.000","7","147","34","36","135","1","104","2","1","0","651","NL","187","4",".402","87","7","85","2018","118","2.15","22","3.89","592885","574","2","6","158","183"
"32","13","2656","0","43","109","285",".309","135","317","79","1",".544","74",".292",".928","16","155","43","32","108","1","104","3","1","2","676","NL","170","5",".385","93","4","168","2016","94","0.91","3","3.93","519203","583","8","2","112","153"
