"hr","gidp","player","sac","rbi","tb","slg","avg","bb","ops","hbp","g","d","e","so","sf","tpa","h","cs","obp","t","s","r","sb","sbpct","player_id","ab","ibb"
"41","3","Arenado, Nolan","1","126","360",".593",".313","60",".967","3","154","39","3","92","7","679","190","2",".374","4","106","111","3",".600","571448","607","11"
"42","2","Bellinger, Cody","1","118","339",".620",".316","82","1.024","3","149","30","2","114","6","639","173","8",".404","5","96","107","15",".652","641355","547","14"
